,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
103,2021-03-08,5.0,988.01,0.52,9.85,208.86,20.74,179.41,197.14,24.32
104,2021-03-09,5.0,3284.45,2.01,84.31,214.58,79.16,311.99,407.63,101.33
105,2021-03-10,5.0,2029.42,6.65,39.76,214.58,64.85,231.98,282.86,37.49
106,2021-03-11,5.0,2937.32,37.1,47.3,283.24,49.59,267.28,328.84,43.06
107,2021-03-12,5.0,1708.98,6.15,41.13,171.66,32.9,193.19,242.78,35.47
108,2021-03-13,5.0,1922.61,4.92,40.44,131.61,21.7,139.03,175.79,41.04
109,2021-03-14,5.0,1735.69,3.8,35.64,168.8,17.41,133.45,164.97,37.49
110,2021-03-15,5.0,1762.39,5.76,39.07,185.97,26.7,149.19,209.14,33.44
111,2021-03-16,5.0,1615.52,2.35,37.36,205.99,33.38,172.48,259.56,32.93
112,2021-03-17,5.0,2216.34,4.69,48.67,191.69,32.42,196.22,334.37,45.09
113,2021-03-18,5.0,2536.77,25.26,41.47,260.35,33.85,240.74,375.13,41.04
114,2021-03-19,5.0,1188.28,3.3,27.08,191.69,37.67,210.01,262.31,26.09
115,2021-03-20,5.0,1214.98,3.52,27.42,177.38,17.17,134.44,161.55,28.37
116,2021-03-21,5.0,1762.39,4.97,40.1,228.88,29.09,136.63,188.17,43.06
117,2021-03-22,5.0,2803.8,23.02,60.32,251.77,88.69,210.81,273.8,123.62
118,2021-03-23,5.0,2243.04,27.27,33.93,254.63,60.08,174.65,227.07,36.48
119,2021-03-24,5.0,961.3,2.63,27.42,167.37,54.84,145.34,165.25,21.53
120,2021-03-25,5.0,747.68,2.15,15.42,168.8,23.13,80.25,110.72,22.29
121,2021-03-26,5.0,2136.23,2.4,47.3,194.55,29.8,192.09,252.89,39.01
122,2021-03-27,5.0,2243.04,17.43,43.53,263.21,38.62,207.02,262.82,38.51
123,2021-03-28,5.0,2189.64,18.33,41.47,248.91,52.93,185.76,229.27,51.17
124,2021-03-29,5.0,2510.07,14.53,59.63,240.33,45.3,214.32,308.21,81.06
