,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
16,2020-12-11,1607625000,27.9,16.0,21.2,27.1,16.0,21.1,14.1,70.0,0.0,0.0,0.0
17,2020-12-12,1607711400,26.1,14.9,20.1,26.1,14.9,20.1,14.2,73.0,0.0,0.0,0.0
18,2020-12-13,1607797800,25.3,16.0,20.2,25.3,16.0,20.2,15.4,77.1,0.0,0.0,0.0
19,2020-12-14,1607884200,26.0,15.0,20.6,26.0,15.0,20.6,15.1,74.1,0.0,0.0,0.0
20,2020-12-15,1607970600,25.9,16.0,20.6,25.9,16.0,20.6,15.3,74.3,0.0,0.0,0.0
21,2020-12-16,1608057000,25.3,17.0,21.2,25.3,17.0,21.2,18.5,85.5,0.4,100.0,12.5
22,2020-12-17,1608143400,24.1,19.0,21.5,24.1,19.0,21.5,18.6,84.6,0.189,100.0,4.17
23,2020-12-18,1608229800,26.9,17.9,22.2,26.8,17.9,22.2,15.6,70.2,0.0,0.0,0.0
24,2020-12-19,1608316200,25.0,16.0,20.3,25.0,16.0,20.3,16.0,78.6,0.0,0.0,0.0
25,2020-12-20,1608402600,25.0,16.0,20.3,25.0,16.0,20.3,15.8,77.8,0.3,100.0,12.5
26,2020-12-21,1608489000,25.0,15.0,19.6,25.0,15.0,19.6,13.9,72.9,0.0,0.0,0.0
27,2020-12-22,1608575400,27.2,13.0,19.6,27.5,13.0,19.6,13.9,73.2,0.0,0.0,0.0
28,2020-12-23,1608661800,26.9,16.0,20.7,27.6,16.0,20.8,16.5,78.8,0.0,0.0,0.0
29,2020-12-24,1608748200,27.2,16.0,21.4,27.9,16.0,21.6,16.9,77.5,0.0,0.0,0.0
30,2020-12-25,1608834600,27.9,17.0,21.3,27.3,17.0,21.2,14.7,70.3,0.0,0.0,0.0
31,2020-12-26,1608921000,27.3,16.9,21.0,26.9,16.9,20.9,13.7,66.9,0.0,0.0,0.0
32,2020-12-27,1609007400,28.9,14.9,20.8,27.8,14.9,20.7,13.7,69.0,0.0,0.0,0.0
33,2020-12-28,1609093800,28.9,16.0,21.2,27.4,16.0,20.9,11.3,61.9,0.0,0.0,0.0
34,2020-12-29,1609180200,28.1,15.0,21.6,29.1,15.0,21.7,16.5,75.3,0.0,0.0,0.0
35,2020-12-30,1609266600,28.7,18.8,22.6,30.6,18.8,22.7,18.1,78.0,0.0,0.0,0.0
36,2020-12-31,1609353000,25.0,19.0,21.4,25.0,19.0,21.4,18.9,86.4,0.494,100.0,8.33
37,2021-01-01,1609439400,25.1,17.7,20.9,25.1,17.7,20.9,15.4,73.2,0.944,100.0,8.33
38,2021-01-02,1609525800,24.9,15.0,20.4,24.9,15.0,20.4,17.4,83.7,0.2,100.0,4.17
39,2021-01-03,1609612200,26.0,19.0,21.8,26.0,19.0,21.8,18.8,84.0,0.4,100.0,16.67
40,2021-01-04,1609698600,24.0,19.0,21.1,24.0,19.0,21.1,18.6,86.6,0.011,100.0,4.17
41,2021-01-05,1609785000,26.1,18.0,21.6,26.1,18.0,21.6,18.9,85.4,0.5,100.0,12.5
42,2021-01-06,1609871400,24.2,20.0,21.3,24.2,20.0,21.3,20.5,95.4,14.668,100.0,16.67
43,2021-01-07,1609957800,24.9,19.0,21.6,24.9,19.0,21.6,20.3,92.6,8.622,100.0,12.5
44,2021-01-08,1610044200,26.0,20.0,22.5,26.0,20.0,22.5,20.3,87.9,0.9,100.0,20.83
45,2021-01-09,1610130600,24.9,20.0,21.8,24.9,20.0,21.8,19.5,87.6,0.2,100.0,8.33
46,2021-01-10,1610217000,27.0,18.9,22.1,28.0,18.9,22.2,19.0,83.9,0.0,0.0,0.0
47,2021-01-11,1610303400,25.9,19.0,22.2,25.9,19.0,22.2,19.0,83.3,0.7,100.0,16.67
48,2021-01-12,1610389800,24.0,18.0,20.7,24.0,18.0,20.7,17.2,81.9,0.0,0.0,0.0
49,2021-01-13,1610476200,27.0,16.0,21.4,27.4,16.0,21.5,16.4,76.1,0.0,0.0,0.0
50,2021-01-14,1610562600,25.9,16.0,20.5,25.9,16.0,20.5,17.5,84.1,0.1,100.0,4.17
51,2021-01-15,1610649000,26.9,17.9,21.9,27.8,17.9,21.9,17.9,79.8,0.0,0.0,0.0
52,2021-01-16,1610735400,28.0,17.0,21.9,28.2,17.0,21.9,17.3,77.8,0.0,0.0,0.0
53,2021-01-17,1610821800,28.9,17.0,22.3,28.8,17.0,22.2,15.8,71.4,0.0,0.0,0.0
