,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
267,2021-08-19,5.0,1014.71,21.68,50.72,80.82,53.41,98.33,110.45,11.27
268,2021-08-20,5.0,1415.25,30.85,37.01,83.69,73.43,69.45,85.17,12.29
269,2021-08-21,4.0,580.79,2.07,26.73,67.23,26.94,38.86,41.05,4.62
270,2021-08-22,5.0,1028.06,21.46,42.16,170.23,68.67,172.16,179.76,8.04
271,2021-08-23,5.0,1041.41,12.74,32.22,123.02,42.44,83.73,93.34,6.78
272,2021-08-24,5.0,814.44,6.48,28.45,138.76,36.24,77.41,85.08,6.21
273,2021-08-25,5.0,961.3,13.75,40.44,95.84,65.8,72.86,82.29,7.98
274,2021-08-26,5.0,947.95,21.46,52.09,151.63,122.07,99.98,109.55,7.73
275,2021-08-27,5.0,1001.36,10.39,80.2,77.96,114.44,73.2,79.14,6.71
276,2021-08-28,5.0,1949.31,35.32,52.09,60.8,43.39,83.16,95.98,11.91
277,2021-08-29,4.0,934.6,15.42,37.7,24.68,45.3,27.17,31.83,5.45
278,2021-08-30,5.0,1428.6,36.66,49.35,52.21,52.45,63.6,72.65,13.81
279,2021-08-31,5.0,1642.23,41.13,78.14,74.39,125.89,81.96,94.64,12.16
280,2021-09-01,5.0,2056.12,48.28,101.45,80.82,135.42,141.21,153.83,15.07
281,2021-09-02,5.0,1535.42,25.48,97.33,88.69,135.42,149.45,162.46,9.25
282,2021-09-03,4.0,1228.33,32.19,46.61,19.85,86.78,43.84,52.57,8.49
283,2021-09-04,4.0,854.49,12.96,35.64,97.28,31.95,33.14,35.38,4.37
284,2021-09-05,4.0,801.09,7.15,39.07,63.66,32.42,26.08,30.06,5.07
285,2021-09-06,4.0,1228.33,11.85,51.41,44.35,45.3,48.43,57.74,7.28
286,2021-09-07,5.0,654.22,9.5,43.53,90.12,28.85,54.14,59.54,7.35
287,2021-09-08,5.0,934.6,19.89,35.99,87.26,36.24,63.38,73.76,9.5
288,2021-09-09,5.0,1468.66,12.41,85.68,104.43,56.27,105.4,120.53,14.82
289,2021-09-10,5.0,1028.06,13.75,67.86,65.09,58.17,96.0,108.98,12.16
290,2021-09-11,5.0,1241.68,12.63,61.01,90.12,39.1,54.33,66.38,9.63
291,2021-09-12,4.0,787.74,5.14,40.78,42.92,26.94,37.88,47.79,7.09
292,2021-09-13,4.0,680.92,5.31,39.76,39.7,25.03,34.81,51.08,8.36
293,2021-09-14,5.0,627.52,12.63,31.19,83.69,32.42,50.17,58.23,10.64
294,2021-09-15,5.0,988.01,21.46,29.13,131.61,71.53,64.87,74.07,10.89
295,2021-09-16,5.0,1068.12,23.47,78.14,49.35,111.58,71.39,80.92,10.13
296,2021-09-17,5.0,1134.87,32.19,61.69,98.71,141.14,97.48,105.01,7.41
297,2021-09-18,5.0,2029.42,24.81,58.26,104.43,56.74,205.32,211.78,15.83
298,2021-09-19,5.0,807.76,1.38,34.96,84.4,37.67,85.05,88.01,6.21
299,2021-09-20,5.0,1241.68,9.05,42.5,170.23,80.11,114.82,121.01,10.13
300,2021-09-21,5.0,2483.37,32.19,108.3,177.38,73.43,115.77,136.34,16.97
301,2021-09-22,5.0,1468.66,20.34,55.52,59.37,94.41,69.57,78.82,10.26
302,2021-09-23,5.0,1201.63,9.5,54.15,49.35,56.27,79.92,88.73,6.9
