,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
783.0,2023-01-17,5.0,1228.33,14.53,54.84,138.76,22.89,109.73,119.38,6.78,
784.0,2023-01-18,4.0,947.95,2.68,45.93,143.05,19.07,74.06,84.2,4.56,
785.0,2023-01-19,4.0,907.9,6.15,42.16,120.16,15.5,70.07,79.09,5.13,
786.0,2023-01-20,4.0,754.36,4.41,30.5,103.0,11.68,53.52,61.45,5.19,
787.0,2023-01-21,3.0,801.09,2.68,32.56,105.86,9.3,25.55,30.67,7.16,
788.0,2023-01-22,4.0,714.3,5.03,26.73,104.43,7.99,65.68,77.65,4.5,
789.0,2023-01-23,4.0,720.98,5.31,27.42,101.57,11.44,64.9,75.79,5.0,
790.0,2023-01-24,4.0,534.06,3.3,25.7,80.11,15.5,56.89,73.6,5.19,
791.0,2023-01-25,5.0,674.25,5.81,26.73,115.87,12.87,76.12,89.15,5.76,
792.0,2023-01-26,5.0,807.76,4.75,34.62,138.76,15.5,102.95,115.76,4.62,
793.0,2023-01-27,5.0,1241.68,8.27,47.98,145.91,15.02,126.82,142.15,5.45,
794.0,2023-01-28,5.0,867.84,10.06,31.87,110.15,7.87,90.09,97.59,5.64,
795.0,2023-01-29,5.0,974.66,4.47,39.76,134.47,9.42,112.51,119.8,3.67,
796.0,2023-01-30,3.0,727.65,1.49,27.08,70.1,10.73,29.32,35.37,4.05,
797.0,2023-01-31,3.0,774.38,3.63,26.39,103.0,8.82,25.14,28.58,4.81,
798.0,2023-02-01,4.0,774.38,2.74,31.53,128.75,7.33,64.32,69.82,5.26,
799.0,2023-02-02,4.0,594.14,2.51,21.42,110.15,6.85,72.21,82.48,4.56,
800.0,2023-02-03,5.0,741.0,1.26,30.5,100.14,8.34,76.96,86.93,5.32,
801.0,2023-02-04,5.0,660.9,2.93,24.33,130.18,8.82,90.73,102.72,4.12,
802.0,2023-02-05,5.0,894.55,5.2,38.39,140.19,11.8,95.29,106.23,4.94,
803.0,2023-02-06,5.0,1068.12,7.49,54.84,130.18,15.5,86.69,100.04,11.4,
804.0,2023-02-07,5.0,2349.85,45.6,80.88,200.27,23.6,139.57,161.41,12.29,
805.0,2023-02-08,5.0,1388.55,12.18,58.95,155.93,22.65,111.03,127.1,5.26,
806.0,2023-02-09,5.0,1708.98,27.72,60.32,150.2,20.98,114.61,129.58,6.46,
807.0,2023-02-10,5.0,1415.25,22.35,52.09,138.76,15.74,95.88,105.71,8.74,
808.0,2023-02-11,5.0,1455.31,14.31,61.69,134.47,19.07,117.11,129.42,9.25,
809.0,2023-02-12,5.0,2563.48,68.84,68.55,143.05,16.93,115.09,132.26,10.26,
810.0,2023-02-13,5.0,907.9,5.14,41.13,143.05,14.54,96.46,108.4,7.79,
811.0,2023-02-14,5.0,1695.63,12.29,77.46,158.79,26.94,135.46,151.56,13.05,
812.0,2023-02-15,5.0,2723.69,75.1,71.29,158.79,28.37,112.6,130.78,11.4,
813.0,2023-02-16,5.0,1268.39,13.19,56.21,144.48,20.5,124.36,138.04,9.25,
814.0,2023-02-17,5.0,2002.72,28.61,80.2,141.62,21.93,125.1,145.31,8.23,
815.0,2023-02-18,4.0,1401.9,20.79,52.78,145.91,16.69,66.47,82.52,8.11,
816.0,2023-02-19,3.0,1041.41,18.33,36.67,138.76,15.74,37.26,45.29,6.78,
817.0,2023-02-20,5.0,1281.74,29.5,40.78,141.62,29.33,86.5,96.03,6.84,
818.0,2023-02-21,5.0,1335.14,14.31,55.52,143.05,22.41,84.63,94.25,9.5,
819.0,2023-02-22,5.0,1361.85,11.06,61.01,157.36,23.84,97.45,106.34,8.36,
820.0,2023-02-23,5.0,574.11,0.0,13.02,86.55,10.49,89.31,98.09,4.75,
821.0,2023-02-24,,,,,,,,,,
822.0,2023-02-25,5.0,1348.5,10.51,58.26,125.89,23.37,100.82,110.92,7.66,
823.0,2023-02-26,4.0,787.73,4.64,34.62,147.34,17.64,55.34,62.33,7.54,
824.0,2023-02-27,4.0,1375.2,20.12,56.21,128.75,23.6,69.37,76.52,9.75,
825.0,2023-02-28,4.0,1201.63,18.55,45.24,125.89,20.98,63.99,71.01,8.36,
826.0,2023-03-01,3.0,714.3,4.97,22.62,115.87,10.97,45.18,52.64,5.89,
827.0,2023-03-02,4.0,761.03,5.7,29.47,135.9,19.31,68.14,78.46,6.84,
828.0,2023-03-03,4.0,947.95,7.82,43.53,145.91,11.8,47.31,54.09,7.92,
829.0,2023-03-04,3.0,373.84,0.0,7.63,72.24,4.89,34.38,38.55,6.4,
830.0,2023-03-05,3.0,527.38,3.05,20.22,124.45,8.23,42.47,51.35,6.71,
831.0,2023-03-06,4.0,620.84,4.08,26.05,123.02,18.12,63.46,75.16,7.54,
832.0,2023-03-07,5.0,1001.36,11.62,43.18,128.75,36.24,88.11,99.91,8.11,
833.0,2023-03-08,4.0,867.84,8.27,33.93,128.75,15.14,70.57,81.94,6.97,
834.0,2023-03-09,3.0,1188.28,20.12,41.47,121.59,12.76,39.97,46.17,8.87,
835.0,2023-03-10,4.0,947.95,8.16,40.1,134.47,11.8,59.49,67.59,6.97,
836.0,2023-03-11,4.0,947.95,9.16,34.27,130.18,7.99,63.25,71.42,6.97,
837.0,2023-03-12,4.0,894.55,9.39,28.79,144.48,15.02,63.33,72.34,5.26,
838.0,2023-03-13,4.0,1121.52,13.63,36.67,141.62,12.16,54.83,62.27,8.36,
839.0,2023-03-14,5.0,2056.12,47.83,52.09,135.9,17.17,77.23,89.21,12.16,
840.0,2023-03-15,5.0,1628.88,21.23,61.69,168.8,22.65,84.19,91.53,9.25,
841.0,2023-03-16,5.0,2296.45,37.55,75.4,154.5,19.07,94.87,106.21,5.32,
842.0,2023-03-17,3.0,1108.17,5.98,42.84,114.44,16.45,29.3,30.95,4.56,
843.0,2023-03-18,2.0,834.47,4.58,31.19,94.41,12.16,23.48,27.34,2.63,
844.0,2023-03-19,3.0,1134.87,4.97,48.67,100.14,9.89,23.82,29.05,3.99,
845.0,2023-03-20,3.0,1308.44,27.05,39.76,128.75,11.44,35.57,43.9,7.79,
846.0,2023-03-21,4.0,2510.07,43.36,94.59,124.45,19.55,61.86,79.7,14.95,
847.0,2023-03-22,4.0,3177.64,48.73,160.4,164.51,23.84,64.67,79.19,12.54,
848.0,2023-03-23,5.0,4165.65,148.42,87.74,170.23,29.33,83.77,109.95,20.01,
849.0,2023-03-24,3.0,1281.74,24.14,39.76,124.45,15.02,25.12,30.68,6.21,
850.0,2023-03-25,2.0,1161.58,9.28,51.41,64.37,12.28,18.33,22.63,5.0,
851.0,2023-03-26,2.0,988.01,16.54,45.93,45.42,14.07,23.56,31.1,7.09,
852.0,2023-03-27,4.0,1976.01,17.66,90.48,130.18,21.22,65.43,85.3,16.21,
853.0,2023-03-28,5.0,4325.87,173.45,56.89,170.23,23.84,92.92,115.81,22.8,
854.0,2023-03-29,4.0,3685.0,84.04,137.09,138.76,25.03,50.31,59.92,11.78,
855.0,2023-03-30,3.0,2429.96,79.57,47.3,82.97,28.85,43.15,56.5,12.79,
856.0,2023-03-31,5.0,5767.82,182.39,137.09,171.66,27.66,135.64,160.63,20.27,
857.0,2023-04-01,4.0,1321.79,4.81,55.52,107.29,25.03,50.81,56.69,6.9,
858.0,2023-04-02,3.0,1134.87,22.13,44.55,124.45,12.76,34.79,49.37,10.77,
859.0,2023-04-03,4.0,1001.36,19.0,31.87,145.91,13.59,26.31,36.23,6.33,
860.0,2023-04-04,4.0,1495.36,9.16,80.2,157.36,24.32,43.29,49.1,7.66,
861.0,2023-04-05,4.0,2696.99,87.62,78.14,87.98,35.76,63.19,76.27,12.41,
862.0,2023-04-06,4.0,2216.34,63.48,86.37,177.38,18.6,60.42,74.43,13.43,
863.0,2023-04-07,3.0,1348.5,43.81,35.3,137.33,33.86,43.34,53.93,6.59,
864.0,2023-04-08,3.0,1014.71,20.34,27.76,124.45,9.78,21.49,30.65,6.59,
865.0,2023-04-09,4.0,1495.36,48.28,28.45,150.2,12.04,37.56,44.72,8.23,
866.0,2023-04-10,3.0,894.55,13.86,27.42,125.89,15.02,22.94,31.74,7.22,
867.0,2023-04-11,4.0,1388.55,34.87,35.99,160.22,17.64,38.71,48.92,10.01,
868.0,2023-04-12,4.0,3204.35,119.81,53.47,175.95,22.89,67.8,86.71,14.57,
869.0,2023-04-13,4.0,1895.9,42.47,60.32,151.63,18.6,60.42,71.0,11.53,
870.0,2023-04-14,5.0,4112.24,153.78,73.34,205.99,24.56,99.83,120.87,16.47,
871.0,2023-04-15,4.0,2269.74,67.95,46.61,174.52,11.8,67.55,82.82,14.44,
872.0,2023-04-16,4.0,1148.22,15.2,43.18,177.38,26.46,65.04,73.66,8.87,
873.0,2023-04-17,5.0,2189.64,59.9,58.95,191.69,24.08,59.58,67.06,13.43,
874.0,2023-04-18,4.0,974.66,7.93,38.39,175.95,38.62,58.67,70.52,7.73,
875.0,2023-04-19,5.0,1588.82,22.13,78.83,181.67,23.37,51.28,59.78,12.03,
876.0,2023-04-20,5.0,1348.5,28.39,54.15,181.67,16.93,43.48,58.53,12.79,
877.0,2023-04-21,4.0,1201.63,17.66,69.92,167.37,26.23,57.73,67.28,10.26,
878.0,2023-04-22,5.0,1562.12,20.79,77.46,181.67,14.66,66.95,79.13,12.03,
879.0,2023-04-23,3.0,894.55,3.58,32.22,128.75,13.95,42.15,47.74,7.73,
880.0,2023-04-24,4.0,1308.44,15.42,47.3,140.19,18.12,47.76,54.27,5.64,
881.0,2023-04-25,3.0,3124.24,112.65,56.89,61.51,21.7,48.81,61.14,10.89,
882.0,2023-04-26,3.0,1482.01,42.02,37.7,50.78,27.42,34.5,40.27,7.85,
883.0,2023-04-27,3.0,1094.82,41.13,29.82,95.84,26.23,43.49,47.88,3.51,
884.0,2023-04-28,3.0,1241.68,39.34,31.53,86.55,22.41,49.32,56.37,5.13,
885.0,2023-04-29,4.0,3284.45,128.75,42.5,63.66,21.7,60.88,71.98,12.41,
886.0,2023-04-30,4.0,3524.78,164.51,40.78,62.94,21.7,71.32,85.39,15.07,
887.0,2023-05-01,3.0,1028.06,12.07,41.13,59.37,17.64,25.92,28.83,3.58,
888.0,2023-05-02,4.0,1401.9,23.69,47.3,148.77,21.93,31.65,37.3,4.56,
889.0,2023-05-03,4.0,2590.18,86.72,70.6,66.52,16.21,50.91,61.13,8.23,
890.0,2023-05-04,3.0,2136.23,37.1,91.85,125.89,19.79,43.07,54.21,11.27,
891.0,2023-05-05,3.0,2483.37,83.15,53.47,42.92,12.99,42.31,56.65,13.55,
892.0,2023-05-06,2.0,1094.82,14.75,68.55,70.1,15.97,18.72,22.72,6.14,
893.0,2023-05-07,2.0,1161.58,19.0,40.44,65.09,7.09,16.33,22.74,4.81,
894.0,2023-05-08,5.0,4966.74,203.85,72.66,69.38,33.86,89.06,106.7,25.33,
895.0,2023-05-09,4.0,1335.14,20.79,59.63,154.5,16.21,42.32,46.97,9.63,
896.0,2023-05-10,4.0,2349.85,71.53,70.6,160.22,16.93,58.27,65.36,9.37,
897.0,2023-05-11,4.0,1976.01,42.02,82.25,92.98,16.93,58.46,64.95,5.83,
898.0,2023-05-12,3.0,1455.31,25.26,79.51,127.32,16.45,34.01,40.54,6.97,
899.0,2023-05-13,2.0,741.0,2.85,29.82,65.8,5.9,9.06,11.5,3.07,
900.0,2023-05-14,4.0,2616.88,81.36,62.38,103.0,11.68,53.83,70.99,16.47,
901.0,2023-05-15,4.0,3017.43,82.25,82.25,115.87,16.69,68.6,91.22,16.21,
902.0,2023-05-16,5.0,6141.66,228.88,116.53,147.34,48.16,143.64,185.24,45.09,
903.0,2023-05-17,4.0,2883.91,59.01,131.61,144.48,19.79,69.64,89.84,11.53,
904.0,2023-05-18,4.0,2136.23,17.88,115.16,148.77,20.03,57.92,75.71,14.44,
905.0,2023-05-19,5.0,4486.08,148.42,97.33,131.61,26.7,91.96,129.41,24.07,
906.0,2023-05-20,5.0,3952.03,119.81,109.67,127.32,36.24,113.95,142.81,36.98,
907.0,2023-05-21,4.0,1228.33,20.56,59.63,168.8,26.7,65.36,72.28,5.19,
908.0,2023-05-22,4.0,1789.09,36.21,113.79,150.2,22.17,73.71,85.39,6.4,
909.0,2023-05-23,5.0,3417.97,77.78,113.79,86.55,29.56,81.45,97.1,11.78,
910.0,2023-05-24,3.0,2029.42,27.72,71.29,125.89,10.97,45.52,55.59,5.64,
911.0,2023-05-25,2.0,1214.98,10.84,53.47,98.71,8.46,22.71,28.37,4.12,
912.0,2023-05-26,2.0,647.54,8.94,33.93,92.98,8.34,10.43,13.81,6.4,
913.0,2023-05-27,3.0,2189.64,46.04,63.75,100.14,12.04,35.91,45.17,10.64,
914.0,2023-05-28,3.0,3898.62,150.2,65.8,75.82,16.21,44.31,57.93,12.54,
915.0,2023-05-29,3.0,974.66,14.53,47.98,125.89,15.97,25.36,34.59,7.73,
916.0,2023-05-30,3.0,1575.47,37.1,52.78,84.4,15.14,37.24,47.68,7.35,
917.0,2023-05-31,3.0,2403.26,59.9,90.48,114.44,24.56,42.42,49.25,5.13,
918.0,2023-06-01,3.0,1134.87,21.46,54.15,137.33,12.16,21.24,26.46,4.5,
919.0,2023-06-02,5.0,5126.95,205.64,68.55,74.39,19.07,93.04,119.43,16.72,
920.0,2023-06-03,3.0,2349.85,54.09,76.77,103.0,13.35,41.24,54.85,10.39,
921.0,2023-06-04,2.0,734.33,1.61,34.96,70.1,7.03,9.17,13.71,7.54,
922.0,2023-06-05,2.0,1214.98,21.46,47.98,71.53,10.13,15.23,20.67,6.78,
923.0,2023-06-06,2.0,747.68,5.36,37.7,56.51,8.82,10.32,14.44,6.4,
924.0,2023-06-07,1.0,754.36,10.28,37.7,48.64,8.58,7.96,10.69,5.76,
925.0,2023-06-08,1.0,480.65,5.98,17.48,43.63,6.14,3.82,5.98,3.96,
926.0,2023-06-09,2.0,720.98,8.16,37.01,60.08,6.56,5.9,8.08,4.56,
927.0,2023-06-10,2.0,417.23,6.54,14.39,63.66,4.59,6.17,7.7,3.83,
928.0,2023-06-11,1.0,383.85,2.79,14.57,31.11,3.81,2.48,4.18,3.67,
929.0,2023-06-12,2.0,660.9,8.05,32.56,67.95,7.75,8.29,9.87,2.72,
930.0,2023-06-13,1.0,467.3,5.53,21.25,55.79,5.19,4.33,6.01,3.2,
931.0,2023-06-14,2.0,700.95,7.71,34.62,70.1,7.15,6.83,10.6,5.38,
932.0,2023-06-15,1.0,667.57,6.98,32.56,59.37,6.85,5.57,8.06,5.45,
933.0,2023-06-16,2.0,667.57,11.06,37.7,76.53,6.5,7.07,9.31,4.31,
934.0,2023-06-17,1.0,390.53,5.14,13.54,33.26,4.23,5.36,8.33,3.51,
935.0,2023-06-18,1.0,607.49,4.08,28.1,38.98,5.84,6.96,9.43,4.62,
936.0,2023-06-19,2.0,867.84,6.82,47.98,58.65,11.21,12.48,15.6,4.12,
937.0,2023-06-20,1.0,714.3,12.18,34.62,56.51,7.09,8.39,11.23,3.2,
938.0,2023-06-21,2.0,841.14,16.76,38.73,35.76,9.3,13.62,17.4,3.83,
939.0,2023-06-22,2.0,1041.41,28.61,29.47,24.32,9.54,10.67,14.21,3.74,
940.0,2023-06-23,1.0,520.71,9.95,22.28,33.97,5.96,5.1,7.44,2.75,
941.0,2023-06-24,1.0,363.83,1.45,14.91,27.18,3.19,2.48,4.04,2.82,
942.0,2023-06-25,1.0,420.57,2.54,18.34,39.34,4.29,4.46,6.38,2.79,
943.0,2023-06-26,1.0,547.41,2.26,26.73,46.49,6.02,5.92,9.42,5.26,
944.0,2023-06-27,1.0,487.33,6.26,19.19,47.92,6.2,4.22,6.43,3.13,
945.0,2023-06-28,1.0,387.19,2.68,16.62,40.41,4.11,2.76,4.6,3.64,
946.0,2023-06-29,1.0,534.06,6.03,26.05,35.41,5.3,3.55,5.08,2.47,
947.0,2023-06-30,1.0,393.87,3.19,17.14,55.79,4.53,3.3,5.0,2.37,
948.0,2023-07-01,1.0,433.92,1.87,19.36,43.27,4.29,3.67,5.6,2.56,
949.0,2023-07-02,1.0,380.52,1.38,16.28,25.75,3.58,2.93,4.22,1.92,
950.0,2023-07-03,1.0,507.35,2.88,23.31,33.62,5.72,3.87,5.15,1.99,
951.0,2023-07-04,1.0,387.19,2.57,13.88,28.97,3.55,3.14,3.58,2.06,
952.0,2023-07-05,1.0,370.5,2.12,14.74,38.62,3.43,3.44,4.16,1.36,
953.0,2023-07-06,1.0,417.23,2.74,15.77,44.35,4.11,4.05,5.18,1.41,
954.0,2023-07-07,1.0,400.54,4.02,16.79,38.27,3.76,2.98,4.08,2.09,
955.0,2023-07-08,1.0,367.16,2.65,12.68,35.05,3.49,3.16,4.69,2.15,
956.0,2023-07-09,1.0,494.0,2.21,21.42,32.54,4.17,4.99,7.07,1.99,
957.0,2023-07-10,1.0,587.46,5.81,26.73,30.76,6.62,6.34,9.61,3.7,
958.0,2023-07-11,1.0,500.68,4.86,23.31,27.54,6.08,6.57,9.39,2.72,
959.0,2023-07-12,1.0,560.76,5.2,27.76,27.18,6.44,5.8,8.52,2.98,
960.0,2023-07-13,1.0,433.92,4.25,20.22,33.26,4.71,3.7,5.09,2.44,
961.0,2023-07-14,1.0,447.27,6.98,16.96,26.11,4.95,3.82,6.18,2.98,
962.0,2023-07-15,1.0,380.52,2.57,15.94,23.25,3.76,2.71,4.31,3.32,
963.0,2023-07-16,1.0,390.53,3.55,16.45,22.17,3.99,3.07,4.34,2.88,
964.0,2023-07-17,1.0,393.87,3.97,16.45,26.46,4.53,3.31,4.78,2.75,
965.0,2023-07-18,1.0,320.43,1.79,12.85,35.76,3.13,1.99,3.32,2.28,
966.0,2023-07-19,1.0,210.29,0.01,3.47,32.9,2.29,1.06,1.59,1.28,
967.0,2023-07-20,1.0,287.06,2.01,10.8,36.12,2.77,2.24,3.31,1.92,
968.0,2023-07-21,1.0,327.11,1.23,14.22,33.97,2.89,2.68,3.29,1.61,
969.0,2023-07-22,1.0,273.7,0.95,9.34,39.34,2.21,2.29,3.12,1.35,
970.0,2023-07-23,1.0,303.75,1.15,10.28,33.97,2.26,2.11,2.5,1.09,
971.0,2023-07-24,1.0,390.53,2.18,16.96,40.41,3.52,2.51,3.36,1.46,
972.0,2023-07-25,1.0,400.54,3.27,16.28,36.84,3.46,4.78,5.44,1.25,
973.0,2023-07-26,1.0,410.56,5.36,17.31,37.55,3.99,3.79,4.72,1.23,
974.0,2023-07-27,1.0,360.49,3.1,14.57,27.18,3.34,2.49,3.99,2.25,
975.0,2023-07-28,1.0,340.46,2.71,13.19,36.48,3.37,2.89,4.32,2.37,
976.0,2023-07-29,1.0,307.08,1.73,10.11,38.27,2.77,3.77,5.44,3.01,
977.0,2023-07-30,1.0,377.18,2.07,16.11,40.77,4.05,3.5,5.76,3.58,
978.0,2023-07-31,1.0,360.49,2.12,15.25,22.71,3.93,3.43,5.35,3.17,
979.0,2023-08-01,1.0,343.8,0.61,14.57,28.97,3.37,2.8,4.27,3.01,
980.0,2023-08-02,1.0,343.8,2.57,14.57,41.13,3.78,3.55,5.34,3.17,
981.0,2023-08-03,1.0,350.48,2.07,14.57,40.05,3.52,2.67,4.48,3.39,
982.0,2023-08-04,1.0,410.56,3.8,18.68,35.41,4.77,5.13,7.8,3.17,
983.0,2023-08-05,1.0,397.21,3.41,16.45,34.33,3.87,3.56,5.42,3.64,
984.0,2023-08-06,1.0,350.48,3.02,14.22,36.12,3.87,3.66,5.25,3.39,
985.0,2023-08-07,1.0,413.89,2.77,18.16,22.53,5.19,4.39,6.66,3.86,
986.0,2023-08-08,1.0,727.65,14.98,25.7,25.39,7.09,9.61,13.43,4.18,
987.0,2023-08-09,2.0,680.92,9.16,30.16,28.97,7.33,10.99,16.15,5.7,
988.0,2023-08-10,2.0,961.3,22.13,28.45,21.99,8.34,15.57,21.41,4.31,
989.0,2023-08-11,3.0,2082.82,82.25,28.79,24.68,11.21,34.93,47.85,12.41,
990.0,2023-08-12,1.0,427.25,5.64,14.91,33.97,4.71,4.32,6.34,4.75,
991.0,2023-08-13,1.0,417.23,6.93,16.79,33.97,4.77,4.28,6.5,5.07,
992.0,2023-08-14,2.0,1241.68,30.85,34.96,28.97,9.89,19.39,29.11,12.67,
993.0,2023-08-15,2.0,1321.79,26.15,49.35,61.51,10.01,22.6,32.49,12.54,
994.0,2023-08-16,2.0,667.57,15.87,16.45,98.71,8.46,16.04,19.05,5.45,
995.0,2023-08-17,1.0,487.33,9.95,20.73,41.84,6.68,7.45,11.04,3.86,
996.0,2023-08-18,1.0,397.21,5.48,13.19,29.68,4.83,3.47,5.51,3.8,
997.0,2023-08-19,1.0,363.83,1.79,15.42,24.68,3.13,2.35,3.51,2.03,
998.0,2023-08-20,1.0,407.22,2.51,16.79,45.06,4.71,4.16,6.68,5.7,
999.0,2023-08-21,2.0,600.81,10.17,28.45,67.23,7.33,8.34,12.59,7.6,
1000.0,2023-08-22,3.0,1174.93,20.12,54.84,51.5,12.87,28.99,37.44,7.28,
1001.0,2023-08-23,2.0,1201.63,30.85,34.27,31.83,9.42,15.96,24.06,12.03,
1002.0,2023-08-24,2.0,527.38,12.07,22.62,75.82,7.09,11.05,13.33,5.7,
1003.0,2023-08-25,2.0,847.82,16.99,41.47,68.66,8.34,12.39,14.88,7.03,
1004.0,2023-08-26,1.0,447.27,8.83,22.28,54.36,5.96,5.77,7.18,3.96,
1005.0,2023-08-27,1.0,627.52,16.32,15.77,57.22,6.2,8.43,11.61,4.43,
1006.0,2023-08-28,2.0,694.27,20.34,15.25,74.39,8.23,11.98,14.41,4.75,
1007.0,2023-08-29,1.0,494.0,7.38,23.65,28.61,6.97,5.66,8.19,4.94,
1008.0,2023-08-30,2.0,1001.36,19.89,31.53,56.51,10.85,18.94,23.8,4.12,
1009.0,2023-08-31,2.0,1081.47,11.06,52.78,73.67,15.5,23.27,27.74,4.81,
1010.0,2023-09-01,3.0,1842.5,27.05,89.11,98.71,21.22,45.97,52.92,6.14,
1011.0,2023-09-02,2.0,554.08,8.61,23.65,40.77,5.78,13.04,14.65,2.69,
1012.0,2023-09-03,2.0,567.44,8.94,30.85,75.1,5.78,8.8,11.3,6.52,
1013.0,2023-09-04,1.0,360.49,3.55,12.17,38.98,4.05,5.08,6.58,2.69,
1014.0,2023-09-05,1.0,487.33,8.61,19.71,42.92,5.9,7.34,10.03,3.74,
1015.0,2023-09-06,1.0,540.73,3.91,27.42,28.97,6.56,6.03,8.0,2.79,
1016.0,2023-09-07,1.0,534.06,4.08,27.42,36.48,5.48,6.75,8.74,2.34,
1017.0,2023-09-08,1.0,397.21,3.41,19.02,33.62,4.47,3.99,6.03,3.13,
1018.0,2023-09-09,1.0,337.12,2.12,11.82,38.98,3.07,2.59,3.6,2.01,
1019.0,2023-09-10,1.0,403.88,4.19,18.16,35.76,3.81,3.41,4.58,2.25,
1020.0,2023-09-11,1.0,600.81,5.64,26.39,29.33,6.5,6.2,8.95,2.72,
1021.0,2023-09-12,1.0,574.11,3.86,26.05,33.97,6.56,6.62,9.78,3.51,
1022.0,2023-09-13,1.0,647.54,4.14,31.53,35.05,6.68,6.97,9.34,2.85,
1023.0,2023-09-14,1.0,460.62,5.2,21.93,29.68,5.07,3.98,6.23,3.01,
1024.0,2023-09-15,1.0,514.03,2.96,23.65,35.05,4.77,4.21,5.46,2.41,
1025.0,2023-09-16,1.0,380.52,3.1,16.79,30.76,3.7,3.38,5.04,2.41,
1026.0,2023-09-17,1.0,554.08,4.25,23.65,33.26,5.13,5.46,8.03,2.34,
1027.0,2023-09-18,1.0,600.81,7.38,23.99,21.99,6.91,5.58,8.85,2.91,
1028.0,2023-09-19,1.0,647.54,7.38,28.1,28.97,8.46,8.33,11.23,4.12,
1029.0,2023-09-20,1.0,707.63,13.19,25.7,20.38,7.99,5.91,8.88,4.24,
1030.0,2023-09-21,2.0,1815.8,65.27,42.5,22.71,14.07,18.47,23.44,7.28,
1031.0,2023-09-22,3.0,4058.84,194.91,50.04,23.96,20.27,37.38,45.33,8.74,
1032.0,2023-09-23,1.0,574.11,12.29,20.91,55.79,6.56,6.09,7.79,2.88,
1033.0,2023-09-24,1.0,467.3,6.26,22.96,37.91,5.72,5.07,6.83,3.1,
1034.0,2023-09-25,2.0,988.01,24.14,28.45,36.84,7.51,14.43,19.75,3.51,
1035.0,2023-09-26,1.0,734.33,12.18,33.59,19.85,7.27,9.06,12.74,3.13,
1036.0,2023-09-27,1.0,767.71,9.16,33.59,56.51,7.15,9.52,13.43,3.07,
1037.0,2023-09-28,1.0,547.41,4.25,27.08,46.49,8.11,5.18,6.55,2.34,
1038.0,2023-09-29,1.0,433.92,3.69,20.22,51.5,4.59,5.71,6.45,2.34,
1039.0,2023-09-30,1.0,267.03,0.05,5.01,17.88,2.95,2.15,2.81,1.28,
1040.0,2023-10-01,,,,,,,,,,
1041.0,2023-10-02,2.0,634.19,2.01,33.24,81.54,6.44,9.07,13.7,6.84,
1042.0,2023-10-03,2.0,1188.28,10.95,58.95,91.55,8.46,17.15,25.62,10.26,
1043.0,2023-10-04,3.0,2510.07,86.72,57.58,95.84,12.28,31.29,42.47,12.41,
1044.0,2023-10-05,3.0,1522.06,15.2,68.55,123.02,10.85,47.07,57.99,8.87,
1045.0,2023-10-06,5.0,3791.81,144.84,80.88,120.16,16.69,88.21,108.86,17.23,
1046.0,2023-10-07,3.0,1789.09,25.26,89.11,92.98,13.71,31.53,37.48,6.33,
1047.0,2023-10-08,4.0,2082.82,31.29,74.71,138.76,21.93,68.25,73.31,17.48,
1048.0,2023-10-09,5.0,4325.87,175.24,86.37,54.36,41.01,101.88,115.64,18.75,
1049.0,2023-10-10,5.0,4219.06,150.2,84.31,50.07,44.35,86.64,100.56,21.79,
1050.0,2023-10-11,4.0,2029.42,56.77,85.68,100.14,22.65,59.79,65.63,7.92,
1051.0,2023-10-12,5.0,5180.36,227.09,67.17,103.0,28.13,112.7,129.11,8.74,
1052.0,2023-10-13,5.0,2029.42,53.2,76.09,130.18,18.6,132.54,146.16,12.03,
1053.0,2023-10-14,3.0,1054.76,15.65,34.62,120.16,12.64,37.95,43.75,3.48,
1054.0,2023-10-15,3.0,1081.47,24.81,34.27,101.57,20.03,29.01,33.92,3.61,
1055.0,2023-10-16,2.0,1014.71,18.1,46.61,79.39,16.69,21.77,26.99,5.7,
1056.0,2023-10-17,3.0,1001.36,16.32,38.73,94.41,24.8,49.89,55.9,4.94,
1057.0,2023-10-18,5.0,3124.24,114.44,36.67,111.58,13.35,89.65,104.97,9.25,
1058.0,2023-10-19,4.0,1001.36,6.82,52.09,134.47,20.74,50.83,60.18,4.56,
1059.0,2023-10-20,4.0,1588.82,41.57,48.67,125.89,13.23,53.05,66.55,7.41,
1060.0,2023-10-21,4.0,907.9,12.85,35.99,127.32,10.97,54.22,64.84,4.12,
1061.0,2023-10-22,5.0,2937.32,101.92,32.56,131.61,11.32,77.53,90.4,8.74,
1062.0,2023-10-23,4.0,3150.94,123.38,79.51,130.18,14.42,70.38,86.48,13.81,
1063.0,2023-10-24,5.0,2296.45,72.42,93.22,147.34,18.36,86.61,112.51,18.49,
1064.0,2023-10-25,5.0,2323.15,49.62,101.45,180.24,18.6,93.5,112.92,15.2,
1065.0,2023-10-26,5.0,1655.58,29.5,81.57,164.51,32.9,84.68,99.32,11.65,
1066.0,2023-10-27,5.0,1201.63,11.18,67.86,131.61,17.17,86.83,96.05,5.19,
1067.0,2023-10-28,3.0,1081.47,12.74,37.36,100.14,10.37,27.31,32.7,4.31,
1068.0,2023-10-29,2.0,627.52,1.22,19.02,80.82,7.87,7.25,8.86,2.28,
1069.0,2023-10-30,2.0,921.25,2.37,37.7,77.96,11.09,10.44,13.72,4.02,
