
Unnamed: 0,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
113.0,2021-03-18,5.0,7583.62,137.69,186.44,211.72,137.33,436.62,600.48,72.96,
114.0,2021-03-19,5.0,6835.94,180.6,119.27,167.37,173.57,405.99,556.19,66.88,
115.0,2021-03-20,5.0,5821.23,71.53,104.19,183.11,103.95,331.83,453.92,58.77,
116.0,2021-03-21,5.0,3631.59,73.31,98.71,226.02,92.51,202.1,282.32,44.58,
117.0,2021-03-22,5.0,4592.9,78.68,104.19,130.18,133.51,306.14,410.04,58.26,
118.0,2021-03-23,5.0,6301.88,119.81,141.2,138.76,110.63,434.78,530.23,58.77,
119.0,2021-03-24,5.0,10467.53,257.49,119.27,226.02,162.13,719.69,893.73,81.06,
120.0,2021-03-25,5.0,1762.39,11.29,55.52,158.79,53.41,113.45,157.71,31.41,
121.0,2021-03-26,5.0,4646.3,42.47,100.08,175.95,82.97,280.36,391.58,58.77,
122.0,2021-03-27,5.0,6782.53,146.63,126.12,240.33,103.95,467.52,622.18,65.86,
123.0,2021-03-28,5.0,11642.46,221.73,165.88,377.66,225.07,864.51,1051.54,73.97,
124.0,2021-03-29,5.0,5554.2,42.92,202.89,283.24,135.42,338.62,488.66,64.34,
125.0,2021-03-30,5.0,3738.4,75.1,56.89,191.69,61.04,292.39,393.81,49.65,
126.0,2021-03-31,5.0,1148.22,5.31,36.67,181.68,42.92,83.85,113.46,28.12,
127.0,2021-04-01,5.0,1682.28,4.14,54.15,165.94,55.31,78.63,117.22,34.45,
128.0,2021-04-02,5.0,4859.92,45.15,142.57,205.99,121.12,255.98,372.87,63.84,
129.0,2021-04-03,5.0,4806.52,71.53,105.56,303.27,110.63,271.08,359.8,54.21,
130.0,2021-04-04,5.0,5981.45,91.2,148.06,317.57,123.98,340.39,456.6,61.81,
131.0,2021-04-05,5.0,3311.16,25.71,109.67,351.91,121.12,217.5,262.65,47.12,
132.0,2021-04-06,5.0,1789.09,7.82,108.3,354.77,217.44,230.88,275.52,30.91,
133.0,2021-04-07,5.0,2376.56,6.65,68.55,303.27,118.26,186.54,258.8,40.53,
134.0,2021-04-08,5.0,2964.02,35.32,72.66,294.69,103.95,196.64,271.28,51.68,
135.0,2021-04-09,5.0,4112.24,58.12,112.41,294.69,107.77,226.8,310.29,55.22,
136.0,2021-04-10,5.0,1762.39,11.06,60.32,268.94,90.6,102.45,132.42,31.67,
137.0,2021-04-11,5.0,3337.86,14.53,102.82,329.02,91.55,176.82,269.98,44.58,
138.0,2021-04-12,5.0,6942.75,130.53,108.3,294.69,164.03,376.13,524.47,85.12,
139.0,2021-04-13,5.0,3685.0,50.52,86.37,366.21,115.4,227.09,301.94,50.16,
140.0,2021-04-14,5.0,2162.93,12.07,77.46,254.63,87.74,134.97,200.4,36.99,
141.0,2021-04-15,5.0,7690.43,135.9,138.46,308.99,179.29,435.53,619.18,85.12,
142.0,2021-04-16,5.0,8010.86,177.03,152.17,266.08,198.36,452.73,619.94,81.06,
143.0,2021-04-17,5.0,4272.46,43.81,101.45,214.58,80.11,273.63,373.71,51.68,
144.0,2021-04-18,5.0,7904.05,137.69,120.64,283.24,198.36,497.68,627.38,67.89,
145.0,2021-04-19,5.0,5821.23,107.29,95.96,271.8,107.77,293.95,409.59,64.34,
146.0,2021-04-20,5.0,7797.24,155.57,106.93,173.09,165.94,426.29,560.95,79.04,
147.0,2021-04-21,5.0,4646.3,43.81,116.53,197.41,85.83,326.07,451.21,50.16,
148.0,2021-04-22,5.0,3257.75,37.1,63.06,377.66,139.24,233.2,311.84,38.0,
149.0,2021-04-23,5.0,1668.93,13.41,105.56,171.66,148.77,97.28,164.5,32.93,
150.0,2021-04-24,5.0,1255.04,7.82,40.78,240.33,58.65,61.18,88.38,25.59,
151.0,2021-04-25,5.0,3204.35,16.76,90.48,231.74,82.97,183.63,255.56,44.58,
152.0,2021-04-26,5.0,8651.73,157.36,169.99,400.54,173.57,503.56,668.46,98.29,
153.0,2021-04-27,5.0,9506.23,153.78,172.73,555.04,209.81,545.88,698.27,88.16,
154.0,2021-04-28,5.0,8117.68,160.93,149.43,406.27,175.48,426.24,579.48,85.12,
155.0,2021-04-29,5.0,6355.29,118.02,106.93,377.66,144.96,326.13,452.61,68.9,
156.0,2021-04-30,5.0,7156.37,123.38,159.03,257.49,282.29,418.85,544.89,73.97,
157.0,2021-05-01,5.0,6248.47,118.02,91.85,177.38,114.44,354.16,475.61,63.33,
158.0,2021-05-02,5.0,3231.05,36.66,111.04,257.49,113.49,179.96,244.51,45.09,
159.0,2021-05-03,5.0,3311.16,22.35,102.82,173.09,118.26,172.79,269.52,51.68,
