,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
71,2021-02-04,5.0,8544.92,144.84,126.12,92.98,183.11,671.68,817.79,120.58
72,2021-02-05,5.0,4913.33,106.39,113.79,123.02,110.63,356.21,408.54,26.85
73,2021-02-06,5.0,2536.77,40.68,54.15,141.62,55.31,217.98,261.85,23.81
74,2021-02-07,5.0,5607.61,86.73,106.93,181.68,52.45,461.37,565.43,35.97
75,2021-02-08,5.0,7583.62,211.0,161.77,194.55,94.41,583.74,726.27,46.1
76,2021-02-09,5.0,14099.12,268.22,213.86,188.83,267.03,1082.81,1306.8,174.28
77,2021-02-10,5.0,11215.21,268.22,197.41,188.83,211.72,1045.94,1220.11,71.94
78,2021-02-11,5.0,10787.96,261.07,244.02,243.19,160.22,1004.93,1172.68,69.92
79,2021-02-12,5.0,9613.04,257.49,191.93,217.44,123.98,824.83,990.48,50.66
80,2021-02-13,5.0,11001.59,166.3,186.44,297.55,139.24,1063.18,1224.33,67.89
81,2021-02-14,5.0,11642.46,225.31,265.96,274.66,209.81,1221.88,1374.19,66.88
82,2021-02-15,5.0,14739.99,296.83,252.25,248.91,154.5,1512.16,1779.78,92.21
83,2021-02-16,5.0,14526.37,275.37,194.67,200.27,335.69,1192.58,1527.88,249.27
84,2021-02-17,5.0,8010.86,169.87,167.25,243.19,110.63,798.34,930.69,51.68
85,2021-02-18,5.0,11322.02,275.37,208.38,263.21,211.72,1007.4,1149.3,66.88
86,2021-02-19,5.0,10681.15,289.68,180.96,248.91,144.96,917.22,1094.65,60.29
87,2021-02-20,5.0,6248.47,76.0,124.75,223.16,69.62,610.28,729.64,56.74
88,2021-02-21,5.0,3391.27,45.6,89.11,205.99,64.85,470.28,524.93,33.95
89,2021-02-22,5.0,5393.98,119.81,115.16,185.97,72.48,428.12,543.43,59.78
90,2021-02-23,5.0,16021.73,286.1,219.35,188.83,324.25,1236.53,1466.69,216.84
91,2021-02-24,5.0,18157.96,450.61,241.28,211.72,116.35,1535.68,1741.28,88.16
92,2021-02-25,5.0,8972.17,236.03,120.64,194.55,103.95,650.77,805.04,70.93
93,2021-02-26,5.0,12817.38,246.76,219.35,181.68,247.96,814.05,1011.72,158.07
94,2021-02-27,5.0,7156.37,171.66,138.46,145.91,106.81,545.02,669.91,67.89
95,2021-02-28,5.0,12176.51,275.37,208.38,208.86,181.2,970.2,1170.1,116.53
96,2021-03-01,5.0,4058.84,76.0,82.25,173.09,123.98,255.84,346.12,51.68
97,2021-03-02,5.0,2029.42,5.36,61.69,180.24,55.79,141.27,182.22,35.47
98,2021-03-03,5.0,12390.14,227.09,149.43,205.99,137.33,915.95,1094.44,94.24
99,2021-03-04,5.0,15380.86,382.66,287.89,371.93,202.18,1204.57,1411.7,100.32
100,2021-03-05,5.0,3631.59,44.7,80.2,167.37,57.7,285.33,359.41,39.52
101,2021-03-06,5.0,6034.85,60.8,131.61,194.55,92.51,415.73,536.19,59.78
102,2021-03-07,5.0,6462.1,150.2,70.6,243.19,73.43,431.53,555.93,58.26
103,2021-03-08,5.0,2269.75,5.09,67.86,220.3,82.97,240.46,301.01,36.99
104,2021-03-09,5.0,14953.61,250.34,202.89,191.69,185.01,1159.2,1429.51,125.65
105,2021-03-10,5.0,8117.68,194.91,123.38,243.19,171.66,613.79,786.41,72.96
106,2021-03-11,5.0,10467.53,228.88,191.93,217.44,289.92,801.23,974.78,59.28
107,2021-03-12,5.0,3952.03,44.7,95.96,131.61,86.78,289.84,383.33,44.58
108,2021-03-13,5.0,4753.11,94.77,120.64,194.55,179.29,319.9,392.84,42.05
109,2021-03-14,5.0,3231.05,66.16,61.69,177.38,64.85,197.14,255.75,41.04
110,2021-03-15,5.0,3898.62,81.36,75.4,188.83,74.39,241.88,321.74,50.16
111,2021-03-16,5.0,3631.59,59.01,97.33,170.23,82.02,230.62,339.77,51.17
112,2021-03-17,5.0,6195.07,151.99,100.08,183.11,100.14,376.06,529.39,62.82
113,2021-03-18,5.0,7583.62,137.69,186.44,211.72,137.33,436.62,600.48,72.96
114,2021-03-19,5.0,6835.94,180.6,119.27,167.37,173.57,405.99,556.19,66.88
115,2021-03-20,5.0,5821.23,71.53,104.19,183.11,103.95,331.83,453.92,58.77
116,2021-03-21,5.0,3631.59,73.31,98.71,226.02,92.51,202.1,282.32,44.58
117,2021-03-22,5.0,4592.9,78.68,104.19,130.18,133.51,306.14,410.04,58.26
118,2021-03-23,5.0,6301.88,119.81,141.2,138.76,110.63,434.78,530.23,58.77
119,2021-03-24,5.0,10467.53,257.49,119.27,226.02,162.13,719.69,893.73,81.06
120,2021-03-25,5.0,1762.39,11.29,55.52,158.79,53.41,113.45,157.71,31.41
121,2021-03-26,5.0,4646.3,42.47,100.08,175.95,82.97,280.36,391.58,58.77
122,2021-03-27,5.0,6782.53,146.63,126.12,240.33,103.95,467.52,622.18,65.86
123,2021-03-28,5.0,11642.46,221.73,165.88,377.66,225.07,864.51,1051.54,73.97
124,2021-03-29,5.0,5554.2,42.92,202.89,283.24,135.42,338.62,488.66,64.34
125,2021-03-30,5.0,3738.4,75.1,56.89,191.69,61.04,292.39,393.81,49.65
126,2021-03-31,5.0,1148.22,5.31,36.67,181.68,42.92,83.85,113.46,28.12
127,2021-04-01,5.0,1682.28,4.14,54.15,165.94,55.31,78.63,117.22,34.45
128,2021-04-02,5.0,4859.92,45.15,142.57,205.99,121.12,255.98,372.87,63.84
129,2021-04-03,5.0,4806.52,71.53,105.56,303.27,110.63,271.08,359.8,54.21
130,2021-04-04,5.0,5981.45,91.2,148.06,317.57,123.98,340.39,456.6,61.81
131,2021-04-05,5.0,3311.16,25.71,109.67,351.91,121.12,217.5,262.65,47.12
132,2021-04-06,5.0,1789.09,7.82,108.3,354.77,217.44,230.88,275.52,30.91
133,2021-04-07,5.0,2376.56,6.65,68.55,303.27,118.26,186.54,258.8,40.53
134,2021-04-08,5.0,2964.02,35.32,72.66,294.69,103.95,196.64,271.28,51.68
135,2021-04-09,5.0,4112.24,58.12,112.41,294.69,107.77,226.8,310.29,55.22
136,2021-04-10,5.0,1762.39,11.06,60.32,268.94,90.6,102.45,132.42,31.67
137,2021-04-11,5.0,3337.86,14.53,102.82,329.02,91.55,176.82,269.98,44.58
138,2021-04-12,5.0,6942.75,130.53,108.3,294.69,164.03,376.13,524.47,85.12
139,2021-04-13,5.0,3685.0,50.52,86.37,366.21,115.4,227.09,301.94,50.16
140,2021-04-14,5.0,2162.93,12.07,77.46,254.63,87.74,134.97,200.4,36.99
141,2021-04-15,5.0,7690.43,135.9,138.46,308.99,179.29,435.53,619.18,85.12
142,2021-04-16,5.0,8010.86,177.03,152.17,266.08,198.36,452.73,619.94,81.06
143,2021-04-17,5.0,4272.46,43.81,101.45,214.58,80.11,273.63,373.71,51.68
144,2021-04-18,5.0,7904.05,137.69,120.64,283.24,198.36,497.68,627.38,67.89
145,2021-04-19,5.0,5821.23,107.29,95.96,271.8,107.77,293.95,409.59,64.34
146,2021-04-20,5.0,7797.24,155.57,106.93,173.09,165.94,426.29,560.95,79.04
147,2021-04-21,5.0,4646.3,43.81,116.53,197.41,85.83,326.07,451.21,50.16
148,2021-04-22,5.0,3257.75,37.1,63.06,377.66,139.24,233.2,311.84,38.0
149,2021-04-23,5.0,1668.93,13.41,105.56,171.66,148.77,97.28,164.5,32.93
150,2021-04-24,5.0,1255.04,7.82,40.78,240.33,58.65,61.18,88.38,25.59
151,2021-04-25,5.0,3204.35,16.76,90.48,231.74,82.97,183.63,255.56,44.58
152,2021-04-26,5.0,8651.73,157.36,169.99,400.54,173.57,503.56,668.46,98.29
153,2021-04-27,5.0,9506.23,153.78,172.73,555.04,209.81,545.88,698.27,88.16
154,2021-04-28,5.0,8117.68,160.93,149.43,406.27,175.48,426.24,579.48,85.12
155,2021-04-29,5.0,6355.29,118.02,106.93,377.66,144.96,326.13,452.61,68.9
156,2021-04-30,5.0,7156.37,123.38,159.03,257.49,282.29,418.85,544.89,73.97
157,2021-05-01,5.0,6248.47,118.02,91.85,177.38,114.44,354.16,475.61,63.33
158,2021-05-02,5.0,3231.05,36.66,111.04,257.49,113.49,179.96,244.51,45.09
159,2021-05-03,5.0,3311.16,22.35,102.82,173.09,118.26,172.79,269.52,51.68
160,2021-05-04,5.0,2002.72,14.31,141.2,123.02,263.21,115.2,167.79,36.48
161,2021-05-05,5.0,2216.34,5.92,64.43,280.38,133.51,160.12,206.44,34.45
162,2021-05-06,5.0,2777.1,15.42,143.95,254.63,150.68,189.29,242.47,33.95
163,2021-05-07,5.0,6942.75,69.74,202.89,340.46,228.88,550.37,679.92,61.3
164,2021-05-08,5.0,4539.49,30.4,119.27,340.46,198.36,314.2,386.48,40.53
165,2021-05-09,5.0,2750.4,12.18,101.45,311.85,120.16,166.52,219.6,38.0
166,2021-05-10,5.0,3738.4,46.94,106.93,188.83,133.51,193.82,260.34,51.17
167,2021-05-11,5.0,4486.08,6.31,113.79,294.69,98.23,315.78,422.28,56.74
168,2021-05-12,5.0,5661.01,49.62,146.69,280.38,121.12,369.73,487.1,58.26
169,2021-05-13,5.0,9506.23,121.59,227.57,243.19,185.01,541.55,732.24,93.22
170,2021-05-14,5.0,3417.97,18.55,109.67,257.49,171.66,200.27,299.56,48.13
171,2021-05-15,5.0,10360.72,125.17,189.19,205.99,185.01,649.22,866.56,104.37
172,2021-05-16,5.0,5767.82,59.9,138.46,340.46,221.25,386.53,520.48,66.88
173,2021-05-17,5.0,9185.79,36.66,400.31,266.08,198.36,544.31,742.08,69.92
174,2021-05-18,5.0,4005.43,61.69,104.19,133.04,125.89,204.53,269.12,49.65
175,2021-05-19,5.0,2136.23,21.01,76.77,82.25,91.55,125.56,150.26,11.53
176,2021-05-20,5.0,7476.81,121.59,126.12,208.86,93.46,414.48,548.7,44.08
177,2021-05-21,5.0,4272.46,71.53,131.61,317.57,274.66,266.79,353.71,39.01
178,2021-05-22,5.0,10681.15,55.88,389.34,423.43,278.47,1013.78,1192.18,123.62
179,2021-05-23,5.0,1842.5,11.06,78.14,280.38,50.07,112.9,203.74,31.16
180,2021-05-24,5.0,2349.85,14.75,85.0,237.47,57.7,133.72,194.58,39.52
181,2021-05-25,5.0,4859.92,48.28,112.41,240.33,100.14,253.57,366.46,61.3
182,2021-05-26,5.0,10360.72,187.76,301.6,566.48,167.85,638.57,874.88,106.39
183,2021-05-27,5.0,10681.15,162.72,274.18,801.09,301.36,967.5,1120.43,82.08
184,2021-05-28,5.0,6034.85,91.2,120.64,306.13,94.41,399.53,503.52,69.92
185,2021-05-29,5.0,1134.87,3.86,43.18,208.86,49.11,84.69,127.45,22.04
186,2021-05-30,5.0,2696.99,4.14,119.27,277.52,120.16,168.93,256.94,36.48
187,2021-05-31,5.0,6248.47,58.12,172.73,294.69,125.89,387.79,568.58,67.89
188,2021-06-01,5.0,11215.21,160.93,216.6,334.74,171.66,736.23,981.56,109.43
189,2021-06-02,5.0,12603.76,95.67,260.47,514.98,173.57,1012.29,1257.99,93.22
190,2021-06-03,5.0,13885.5,166.3,205.64,583.65,385.28,1172.44,1401.09,71.94
191,2021-06-04,5.0,10681.15,193.12,287.89,543.59,247.96,983.74,1173.81,77.01
192,2021-06-05,5.0,13885.5,64.37,282.41,354.77,301.36,1405.77,1579.32,67.89
193,2021-06-06,5.0,8758.55,132.32,126.12,308.99,125.89,520.42,698.02,81.06
194,2021-06-07,5.0,5233.76,56.77,175.48,371.93,129.7,326.9,415.07,58.26
195,2021-06-08,5.0,2243.04,13.3,87.05,117.3,58.65,109.91,258.53,37.49
196,2021-06-09,5.0,6782.53,114.44,122.01,148.77,127.79,325.89,577.53,72.96
197,2021-06-10,5.0,1268.39,4.92,69.92,291.82,144.96,129.41,233.14,26.09
198,2021-06-11,5.0,1321.79,3.49,113.79,158.79,221.25,136.08,253.21,19.25
199,2021-06-12,5.0,1148.22,2.26,36.67,226.02,60.08,100.15,105.6,13.05
200,2021-06-13,5.0,1495.36,7.26,69.23,440.6,186.92,174.01,192.95,16.47
201,2021-06-14,5.0,1628.88,16.09,100.08,452.04,217.44,250.08,284.52,24.07
202,2021-06-15,5.0,5874.63,101.92,116.53,248.91,98.23,276.56,429.19,65.86
203,2021-06-16,5.0,2777.1,56.77,175.48,155.93,247.96,252.96,297.58,27.11
204,2021-06-17,5.0,1842.5,7.6,68.55,411.99,188.83,229.35,251.04,23.05
205,2021-06-18,5.0,2643.59,29.5,77.46,246.05,133.51,117.57,165.07,26.09
206,2021-06-19,5.0,1495.36,12.63,56.21,211.72,101.09,82.86,107.08,17.99
207,2021-06-20,5.0,1562.12,32.63,65.12,280.38,129.7,111.79,125.19,19.51
208,2021-06-21,5.0,5180.36,26.82,165.88,283.24,162.13,295.81,407.96,58.77
209,2021-06-22,5.0,6622.31,76.89,109.67,268.94,123.98,388.58,554.29,61.3
210,2021-06-23,5.0,10360.72,203.85,148.06,463.49,232.7,607.35,855.6,86.13
211,2021-06-24,5.0,3791.81,6.31,124.75,268.94,160.22,278.2,402.6,49.65
212,2021-06-25,5.0,2109.53,10.06,71.97,463.49,150.68,276.64,335.82,33.44
213,2021-06-26,5.0,1388.55,11.74,62.38,389.1,121.12,192.48,347.34,25.84
